year,avg_temp,avg_temp_global,,Years,New York City,Global
1750,10.07,8.72,,1763,8.6,8.03
1751,10.79,7.98,,1764,8.56,8
1752,2.81,5.78,,1765,8.43,8.02
1753,9.52,8.39,,1766,8.95,8.21
1754,9.88,8.47,,1767,8.88,8.2
1755,6.61,8.36,,1768,8.79,8.08
1756,9.94,8.85,,1769,8.97,8.03
1757,8.89,9.02,,1770,8.91,7.95
1758,8.15,6.74,,1771,9,7.86
1759,9.01,7.99,,1772,9.1,7.97
1760,7.73,7.19,,1773,9.18,7.98
1761,10.18,8.77,,1774,9.31,8.1
1762,9.55,8.61,,1775,9.31,8.13
1763,7.23,7.5,,1776,9.28,8.1
1764,9.55,8.4,,1777,9.39,8.16
1765,8.96,8.25,,1778,9.2,8.17
1766,10.09,8.41,,1779,8.58,8.22
1767,8.52,8.22,,1781,8.56,8.2
1768,8.67,6.78,,1782,8.6,8.18
1769,9.1,7.69,,1783,8.61,8.24
1770,9.04,7.69,,1784,8.56,8.25
1771,10.18,7.85,,1785,8.52,8.23
1772,9.64,8.19,,1786,8.44,8.26
1773,10.08,8.22,,1787,8.39,8.25
1774,9.52,8.77,,1788,8.37,8.26
1775,10.24,9.18,,1789,8.36,8.23
1776,9.13,8.3,,1790,8.3,8.15
1777,8.77,8.26,,1791,8.32,8.14
1778,6.89,8.54,,1792,8.31,8.13
1779,0.25,8.98,,1793,8.53,8.11
1781,9.79,8.1,,1794,9.21,8.07
1782,9.15,7.9,,1795,9.17,8.09
1783,8.81,7.68,,1796,9.16,8.12
1784,8.4,7.86,,1797,9.16,8.18
1785,8.49,7.36,,1798,9.25,8.24
1786,8.98,8.26,,1799,9.3,8.32
1787,8.97,8.03,,1800,9.35,8.33
1788,9.77,8.45,,1801,9.42,8.37
1789,9.42,8.33,,1802,9.46,8.38
1790,9.39,7.98,,1803,9.5,8.39
1791,9.37,8.23,,1804,9.53,8.46
1792,8.72,8.09,,1805,9.6,8.48
1793,9.88,8.23,,1806,9.65,8.5
1794,9.83,8.53,,1807,9.6,8.51
1795,9.21,8.35,,1808,9.58,8.44
1796,8.97,8.27,,1809,9.56,8.35
1797,8.85,8.51,,1810,9.58,8.26
1798,9.71,8.67,,1811,9.62,8.14
1799,9.19,8.51,,1812,9.49,8.02
1800,9.58,8.48,,1813,9.47,7.97
1801,10,8.59,,1814,9.41,7.9
1802,10.29,8.58,,1815,9.28,7.81
1803,10.07,8.5,,1816,9.11,7.69
1804,9.69,8.84,,1817,8.95,7.58
1805,10.43,8.56,,1818,8.84,7.51
1806,9.38,8.43,,1819,8.74,7.42
1807,9.17,8.28,,1820,8.71,7.37
1808,9.57,7.63,,1821,8.67,7.35
1809,8.87,7.08,,1822,8.69,7.39
1810,9.35,6.92,,1823,8.67,7.44
1811,9.43,6.86,,1824,8.67,7.56
1812,7.8,7.05,,1825,8.72,7.66
1813,8.93,7.74,,1826,8.87,7.76
1814,8.7,7.59,,1827,8.9,7.83
1815,8.27,7.24,,1828,9.04,7.88
1816,7.92,6.94,,1829,9.1,7.93
1817,7.78,6.98,,1830,9.27,8.04
1818,8.13,7.83,,1831,9.37,8.09
1819,9.07,7.37,,1832,9.44,8.06
1820,8.98,7.62,,1833,9.45,8.1
1821,8.53,8.09,,1834,9.47,8.14
1822,9.84,8.19,,1835,9.47,8.09
1823,8.64,7.72,,1836,9.3,8.06
1824,9.29,8.55,,1837,9.26,8.03
1825,10.21,8.39,,1838,9.22,7.96
1826,9.92,8.36,,1839,9.15,7.9
1827,9.26,8.81,,1840,9.1,7.86
1828,10.7,8.17,,1841,9.08,7.78
1829,9.17,7.94,,1842,8.99,7.77
1830,10.32,8.52,,1843,8.94,7.79
1831,9.07,7.64,,1844,8.86,7.73
1832,9.15,7.45,,1845,8.89,7.74
1833,9.15,8.01,,1846,8.92,7.82
1834,9.32,8.15,,1847,8.93,7.83
1835,8.48,7.39,,1848,8.95,7.82
1836,7.51,7.7,,1849,8.97,7.86
1837,8.12,7.38,,1850,9.09,7.87
1838,8.73,7.51,,1851,9.17,7.93
1839,9.17,7.63,,1852,9.19,7.97
1840,9.27,7.8,,1853,9.22,8
1841,9,7.69,,1854,9.24,8.03
1842,9.41,8.02,,1855,9.25,8.06
1843,8.49,8.17,,1856,9.17,8.06
1844,9.12,7.65,,1857,9.17,8.03
1845,9.49,7.85,,1858,9.17,8.06
1846,9.66,8.55,,1859,9.15,8.09
1847,9.3,8.09,,1860,9.11,8.05
1848,9.54,7.98,,1861,9.12,8.03
1849,8.83,7.98,,1862,9.09,8
1850,9.1,7.9,,1863,9.1,8.01
1851,9.26,8.18,,1864,9.12,8.02
1852,8.98,8.1,,1865,9.14,8.02
1853,9.68,8.04,,1866,9.14,8.03
1854,9.56,8.21,,1867,9.06,8.06
1855,9.11,8.11,,1868,8.95,8.06
1856,8.2,8,,1869,8.93,8.08
1857,8.52,7.76,,1870,9.06,8.1
1858,9.13,8.1,,1871,9.09,8.12
1859,9.17,8.25,,1872,9.06,8.13
1860,9.18,7.96,,1873,9,8.14
1861,9.47,7.85,,1874,8.99,8.17
1862,9,7.56,,1875,8.87,8.17
1863,9.09,8.11,,1876,8.9,8.21
1864,9.29,7.98,,1877,8.97,8.24
1865,9.64,8.18,,1878,9.05,8.3
1866,8.95,8.29,,1879,9.03,8.3
1867,8.59,8.44,,1880,9.1,8.29
1868,7.95,8.25,,1881,9.19,8.27
